Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Independent Fostering Agency,"North East, Yorkshire and the Humber",Sheffield,Private,,Foster Care Associates Limited
Residential Special School,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Local Authority,12,East Riding of Yorkshire Council
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,6,Pebbles Care Limited
Children's home,North West,Bolton,Voluntary,5,The Together Trust
Children's home,London,Havering,Private,6,Anna House Limited
Children's home,South West,Wiltshire,Private,6,Five Rivers Child Care Limited
Independent Fostering Agency,East Midlands,Leicester,Private,,Acorn Fostering Services Limited
Children's home,South West,Cornwall,Private,4,Pathway Care Solutions Ltd
Children's home,South West,Gloucestershire,Private,5,Genesis CTE Ltd
Children's home,North West,Sefton,Private,2,Independent Living Services (North West) Limited
Children's home,South West,Gloucestershire,Private,6,Keys QTC
Children's home,East of England,Southend on Sea,Voluntary,6,The St Christopher School
Children's home,South East,Milton Keynes,Local Authority,10,Milton Keynes Council
Residential special school (registered as a children's home),North West,Sefton,Voluntary,8,Autism Initiatives (UK)
Residential Special School,East of England,Hertfordshire,Academy,33,Hailey Hall Academy Trust
Children's home,South East,Reading,Private,3,Causeway Care Homes Ltd
Children's home,North West,Bolton,Local Authority,6,Bolton Metropolitan Borough Council
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Children's home,London,Croydon,Private,8,McRae Residential Care Services Limited
Children's home,East Midlands,Lincolnshire,Private,4,Keys Direct Care Limited
Children's home,North West,Blackpool,Private,3,Sandcastle Care Ltd
Children's home,South East,Kent,Private,3,Esland North Limited
Independent Fostering Agency,North West,Bolton,Private,,Cfs Care Ltd
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's Home,West Midlands,Shropshire,Private,18,Bryn Melyn Care Limited
Children's home,East Midlands,Nottinghamshire,Private,4,Abbey Green Therapeutic Children's Services Ltd
Children's home,West Midlands,Staffordshire,Private,2,First Blue Healthcare Limited
Children's home,North West,Wigan,Private,4,Apex Childrens Services Ltd
Children's home,West Midlands,Wolverhampton,Private,3,Wrottesley Care Limited
Children's home,West Midlands,Shropshire,Private,4,Physis Quantum Limited
Children's home,"North East, Yorkshire and the Humber",Sunderland,Private,7,Witherslack Group Ltd
Independent Fostering Agency,East of England,Norfolk,Private,,Starz Fostering C.I.C
Children's home,East Midlands,Leicestershire,Private,3,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,6,Care 4 Children Residential Services Ltd
Residential Holiday Scheme for Disabled Children,London,Southwark,Private,,The Movement For Non-Mobile Children (Whizz-Kidz)
Children's home,South West,North Somerset,Private,3,Utopia Children's Services Ltd
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,4,Hexagon Care Services Limited
Children's home,East Midlands,Leicestershire,Private,3,Horizon Care and Education Group Limited
Children's home,South East,Hampshire,Private,6,Hillcrest Children's Services Ltd
Boarding School,South East,Windsor and Maidenhead,Academy,224,Holyport College
Children's home,North West,Lancashire,Private,7,ROC Northwest
Children's home,North West,Lancashire,Private,4,ROC Northwest
Children's home,London,Brent,Private,4,Stonelake London Limited
Children's home,North West,Wigan,Private,5,ROC Northwest
Children's home,West Midlands,Coventry,Private,3,Esland North Limited
Boarding School,West Midlands,Sandwell,Private,40,The British Muslim School
Children's home,South West,Dorset,Private,3,Budwood Limited
Children's home,West Midlands,Birmingham,Private,3,Stepping Stones Care (Midlands) Limited
Children's home,East Midlands,Leicestershire,Private,3,Inspirations Care Limited
Children's home,West Midlands,Staffordshire,Private,3,Monach Intervention Services Limited
Children's home,"North East, Yorkshire and the Humber",Leeds,Private,3,Cambian Childcare Ltd
Children's home,North West,Stockport,Voluntary,3,The Together Trust
Children's home,East of England,Cambridgeshire,Voluntary,17,Friends Therapeutic Community Trust
Children's home,North West,Stockport,Voluntary,3,The Together Trust
Residential Special School,London,Hillingdon,Private,22,Pield Heath School
Children's home,North West,Blackpool,Private,3,Cambian Childcare Ltd
Children's home,London,Bromley,Private,4,Castle Homes Limited
Children's home,North West,Bury,Private,4,Keys ACE Limited
Children's home,South West,Wiltshire,Private,3,Arc HD Services Ltd
Children's home,West Midlands,Staffordshire,Private,4,Motivations Activity Projects Ltd
Children's home,North West,Lancashire,Private,3,Care 4 Children Residential Services Ltd
Children's home,South East,West Sussex,Private,3,My Choice Children's Homes Ltd
Children's home,West Midlands,Stoke-on-Trent,Private,3,Searchlight Care Services Ltd
Children's home,South West,Dorset,Private,1,Five Rivers Child Care Limited
Residential Special School,South East,Surrey,Private,80,Priory Education Services Limited
Children's home,East Midlands,Lincolnshire,Private,4,Keys Educational Services Limited
Children's home,South East,West Sussex,Private,2,My Choice Children's Homes Ltd
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,East Midlands,Lincolnshire,Private,4,Keys Care Ltd
Children's home,North West,Blackburn with Darwen,Local Authority,5,Blackburn with Darwen Borough Council
Children's home,"North East, Yorkshire and the Humber",Northumberland,Local Authority,4,Northumberland County Council
Children's home,North West,St Helens,Private,3,Inspire Childrens Services
Children's home,South West,Cornwall,Private,3,Priory Education Services Limited
Independent Fostering Agency,South East,Medway,Private,,Isp
Residential Special School,West Midlands,Staffordshire,Academy,64,The Shaw Education Trust
Residential Special School,South West,Somerset,Local Authority,8,Somerset County Council
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,4,G B A Care Ltd
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Local Authority,4,Middlesbrough Borough Council
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Local Authority,4,Middlesbrough Borough Council
Children's home,"North East, Yorkshire and the Humber",North Lincolnshire,Local Authority,6,North Lincolnshire Council
Children's home,North West,Manchester,Private,5,New Horizons-(stockport) Ltd
Children's home,South East,Kent,Private,2,Pilgrims Corner Limited
Children's home,London,Bromley,Health Authority,12,Bromley Healthcare Community Interest Company
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,8,Witherslack Group Ltd
Children's home,"North East, Yorkshire and the Humber",Sunderland,Voluntary,4,North East Autism Society
Independent Fostering Agency,"North East, Yorkshire and the Humber",Bradford,Private,,Compass Fostering North Limited
Children's home,West Midlands,Telford and Wrekin,Private,2,Reflexion Care Group Limited
Children's home,North West,Knowsley,Private,3,Attivo Care Ltd
Children's home,East Midlands,Lincolnshire,Private,5,Pasture View Nurturing Homes Ltd
Children's home,South West,Devon,Private,2,Phoenix Learning & Care Holdings Limited
Children's home,North West,Wigan,Private,2,All Round Care Ltd
Children's home,"North East, Yorkshire and the Humber",Rotherham,Private,1,Advanced Adolescent Care Solutions Ltd
Children's home,North West,Lancashire,Private,4,Gracewells Care Limited
Children's home,South West,Devon,Private,3,Sw Education & Care
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's home,North West,Rochdale,Private,2,Sandcastle Care Ltd
Children's home,North West,Bury,Private,4,Sandcastle Care Ltd
Children's home,East Midlands,Leicestershire,Private,4,Watermead Care Ltd
Children's home,North West,Knowsley,Private,2,Lytham Care Ltd
Children's home,North West,Liverpool,Private,3,Horizon Care and Education Group Limited
Children's home,West Midlands,Staffordshire,Private,6,CareTech Community Services Limited
Children's home,West Midlands,Birmingham,Private,3,Castle Homes Care Ltd
Children's home,West Midlands,Birmingham,Private,3,Cambian Childcare Ltd
Children's home,South East,West Sussex,Private,6,The Cuckfield Care Consultancy Limited
Children's home,North West,Liverpool,Private,4,
Children's home,South East,Buckinghamshire,Private,4,Benjamin Uk Ltd
Children's home,West Midlands,Staffordshire,Private,2,Future In Mind
Adoption Support Agency,"North East, Yorkshire and the Humber",Kirklees,Private,,Renee P Marks Associates Ltd
Residential special school (registered as a children's home),South East,West Berkshire,Voluntary,67,Prior's Court Foundation
Independent Fostering Agency,West Midlands,Herefordshire,Private,,Red Kite Fostering Limited
Children's home,East Midlands,Lincolnshire,Private,4,Keys Direct Care Limited
Children's home,East of England,Essex,Private,4,Pss Care Group Limited
Children's home,East Midlands,Derbyshire,Private,2,DMR Services Ltd
Children's home,North West,Cumbria,Private,4,Witherslack Group Ltd
Children's home,North West,Liverpool,Private,3,Keys Group Progressive Care & Education Limited
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,4,Meadows Care Limited
Independent Fostering Agency,South East,East Sussex,Private,,Five Fostering Ltd
Children's home,East of England,Norfolk,Local Authority,4,Norfolk County Council Children's Services
Children's home,West Midlands,Birmingham,Private,5,ASTON CHILDREN'S CARE LTD
Children's home,South East,Milton Keynes,Local Authority,8,Milton Keynes Council
Children's home,West Midlands,Staffordshire,Private,2,Inspire Care (UK) Limited
Children's home,"North East, Yorkshire and the Humber",Rotherham,Private,3,Esland North Limited
Children's home,East Midlands,Leicestershire,Private,4,Witherslack Group Ltd
Children's home,North West,Lancashire,Private,2,Hopscotch Care Ltd
Children's home,South East,Surrey,Local Authority,20,Surrey County Council
Children's home,East of England,Cambridgeshire,Private,3,Keys Care Ltd
Children's home,South West,South Gloucestershire,Private,3,Keys Cwc Ltd
Children's home,West Midlands,Shropshire,Private,2,Reflexion Care Group Limited
Children's home,South East,Kent,Private,4,Channels & Choices Kent LLP
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Private,5,St Hill Establishments Ltd
Adoption Support Agency,"North East, Yorkshire and the Humber",Sheffield,Voluntary,,Chrysalis Associates Limited
Independent Fostering Agency,London,Bromley,Private,,Fostering Support Group Limited
Children's home,West Midlands,Staffordshire,Private,4,Longdon Hall School Limited
Children's home,East Midlands,Nottinghamshire,Private,5,Blue Mountain Homes Ltd
Voluntary Adoption Agency,North West,Cheshire West and Chester,Voluntary,,Adoption Matters
Voluntary Adoption Agency,"North East, Yorkshire and the Humber",North Tyneside,Voluntary,,Barnardo's
Voluntary Adoption Agency,London,Camden,Voluntary,,Thomas Coram Foundation for Children
Voluntary Adoption Agency,South West,Devon,Voluntary,,Families for Children Trust
Voluntary Adoption Agency,South East,Milton Keynes,Voluntary,,St. Francis Children's Society
